round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,keep_prob,num_cells,hidden_layer_size,hidden_activation,optimizer
14,0.1684849159496661,0.9291212743694929,0.16918310914676155,0.9289822700059631,1,332,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
17,0.15480622293629662,0.9352784938375306,0.15268517671341783,0.9367161449424253,1,343,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
24,0.15680968089407055,0.934848792244994,0.1556565766958125,0.9350097995403588,1,362,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
30,0.14421845640630643,0.9392662667411944,0.14474707668294168,0.9393231342254765,1,370,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
11,0.1918362950580046,0.9202077287574866,0.19182758678648917,0.9193180486866361,1,400,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
17,0.1681272891798234,0.930080227403336,0.16796120716000146,0.9301993054417075,1,450,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
25,0.15130352092766367,0.93624268457585,0.15165665279685958,0.9363408113599827,1,454,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
25,0.15548515910918528,0.9347544727791549,0.1525560858446031,0.936247799718414,1,471,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
29,0.14955238958245734,0.937830457262509,0.1497551553548359,0.9373135205711691,1,500,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
10,0.20023157878975653,0.9152295507076903,0.20054434592858225,0.9156368095856572,1,502,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
19,0.1682851965247379,0.9303946390025818,0.16888905564935164,0.9298226656584104,1,504,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
20,0.1682927973170324,0.9300278245552865,0.16757409956577654,0.9303997419320394,1,509,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
16,0.1813943655754752,0.9238915701693774,0.18207654930404746,0.9236660922085509,1,512,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
24,0.16518298579497442,0.9307928922711923,0.1628305970839626,0.9316436327338068,1,512,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
20,0.16703753641485425,0.930190276891404,0.16777477576988808,0.929983807096491,1,528,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
23,0.1607278902174116,0.9334025040743575,0.16057842091205135,0.9331514998551754,1,532,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
25,0.15907712555987566,0.9342618990130487,0.15815249150662913,0.9340816380728523,1,533,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
32,0.14035130150351735,0.941404269109206,0.13887645671930568,0.9424358166701728,1,547,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
18,0.1725479454907946,0.9278583897901542,0.17163413731674648,0.9284058475411677,1,569,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
21,0.17738544193747,0.9258776000307621,0.17881364425648857,0.9254608587055922,1,594,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
23,0.16557910812866347,0.9306828524878185,0.1653451177555656,0.9309165599169359,1,595,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
36,0.13714821240490008,0.9433169305590979,0.13729664135701777,0.9430174729083588,1,632,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
25,0.15471331250259313,0.9355981393450808,0.15385136027799495,0.9361207215234221,1,645,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
13,0.18970747055312018,0.9197780248330248,0.18906340272763045,0.9199645485630468,1,646,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
37,0.14796066360683294,0.9384749994198595,0.14788845044928198,0.9386785895372018,1,659,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
21,0.16397194001507087,0.9315055581716424,0.16351112965967382,0.931730752326027,1,668,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
9,0.21372032099654986,0.9099946047370655,0.209871600256592,0.9118501091826965,1,669,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
14,0.190027541928038,0.9198251856991113,0.19005113332941223,0.9198839809809338,1,718,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
35,0.14323708608431926,0.9407440064503529,0.14241334753503385,0.9408716212010422,1,725,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
20,0.1659360366221967,0.9315160207390772,0.16602449251399684,0.931502784998621,1,729,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
29,0.15073526700020703,0.9369343915175834,0.1506182766511501,0.9372008628575731,1,730,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
