round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,keep_prob,num_cells,hidden_layer_size,hidden_activation,optimizer
16,0.030229727042431025,0.9843318503613107,0.034525286496740054,0.9834442616926744,0.001,128,150,0.7,3,319,<function tanh at 0x7f234a07b620>,adam
15,0.10865356289016043,0.9535824516702183,0.13204804384060517,0.9456834228423991,0.001,128,150,0.1,3,319,<function tanh at 0x7f234a07b620>,adam
8,0.03402489724821534,0.9829798829342933,0.02882161417828308,0.9857014753111529,0.001,128,150,1.0,3,319,<function tanh at 0x7f234a07b620>,adam
34,0.04193378576962256,0.9807632851760439,0.06080794271728128,0.9734813426163372,0.001,128,150,0.3,3,319,<function tanh at 0x7f234a07b620>,adam
9,0.03323561971238498,0.9831790099174816,0.03269192174457666,0.9841195917102749,0.001,128,150,0.9,3,319,<function tanh at 0x7f234a07b620>,adam
