round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,keep_prob,num_cells,hidden_layer_size,hidden_activation,optimizer
23,0.06815254299340001,0.9705187257969009,0.08843624652593123,0.962710778620794,0.001,128,150,0.2,3,319,<function tanh at 0x7f2202acb620>,adam
27,0.03361542518459106,0.9839440767582127,0.05054867279509547,0.9774272087909497,0.001,128,150,0.4,3,319,<function tanh at 0x7f2202acb620>,adam
15,0.031823675950618,0.98392311602291,0.04149987594581503,0.9807311511854957,0.001,128,150,0.6,3,319,<function tanh at 0x7f2202acb620>,adam
10,0.03250200660841265,0.9835563031551147,0.03639683992255875,0.9826215512153648,0.001,128,150,0.8,3,319,<function tanh at 0x7f2202acb620>,adam
23,0.03164311954025324,0.9843056494421825,0.043587221923324704,0.9799503622611699,0.001,128,150,0.5,3,319,<function tanh at 0x7f2202acb620>,adam
