round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,num_cells,hidden_layer_size
19,0.2334273982750673,0.9028312713366149,0.23406253122667747,0.9016880630343341,0.001,128,150,2,3
11,0.2312824825718327,0.9024068164158158,0.23325510764384905,0.9019710335169366,0.001,128,150,4,3
19,0.07021239423477925,0.9701781138438611,0.06505250962919078,0.9724653999807423,0.001,128,150,1,100
7,0.20283137474703328,0.9139614217822926,0.1990641895257106,0.9170346265477405,0.001,128,150,5,9
17,0.04439879283195565,0.9799562968625214,0.03799683524076076,0.9827119445639864,0.001,128,150,2,75
7,0.045172904620700276,0.9788925395502874,0.042221636062594284,0.9802713241512032,0.001,128,150,4,100
5,0.25467940179719517,0.8925605110096084,0.2518990167890756,0.8932362849381755,0.001,128,150,5,3
18,0.07729605350338456,0.9680034375540305,0.07457171912688386,0.9690134221022217,0.001,128,150,1,75
14,0.03432548959021746,0.9828174372356983,0.030013388985931557,0.9850713419678632,0.001,128,150,4,75
10,0.03799482287494086,0.9820942918677588,0.033141722240874895,0.9840082375851613,0.001,128,150,3,100
11,0.04692983205225964,0.9791440683739185,0.04058269359372263,0.9818047359564435,0.001,128,150,2,100
11,0.23153088996766974,0.903412931708154,0.23297251436058772,0.9029922163466936,0.001,128,150,3,3
17,0.13579434279007116,0.9435737005566703,0.13444001942006473,0.9438545950935143,0.001,128,150,1,27
7,0.2558913837572912,0.8927439174391334,0.2575881176182836,0.8916747070895632,0.001,128,150,1,3
9,0.04637747128191442,0.9786934125627264,0.04119595851835927,0.9810180518137295,0.001,128,150,3,75
13,0.041642478848766346,0.9802392667912927,0.03855914852157252,0.9816652157879189,0.001,128,150,4,50
21,0.11561374151280758,0.9509151981007767,0.11663724843490254,0.9502338764139517,0.001,128,150,4,9
7,0.2173442902287389,0.9102042099483809,0.2176314025986147,0.9093236808957588,0.001,128,150,1,9
16,0.03321316123977194,0.98347770039773,0.03159903517935756,0.9841516878992782,0.001,128,150,5,50
9,0.041127728510706944,0.9805641581906693,0.03774711647774252,0.9820071384544441,0.001,128,150,5,100
11,0.03762819798053211,0.9820261694780252,0.035752957598906926,0.9827152196853133,0.001,128,150,5,75
24,0.08130906387058431,0.9659178443957951,0.07935786023802793,0.9668341563713228,0.001,128,150,1,50
16,0.04797642592473628,0.9783894819030251,0.04572202097399302,0.9791230666140027,0.001,128,150,4,27
18,0.04380661130596282,0.9798410128227298,0.04258228292386725,0.9802732892240383,0.001,128,150,5,27
21,0.048065230145978695,0.9786829321972614,0.04362812093178504,0.980677439195735,0.001,128,150,2,50
9,0.10932427303959634,0.9547876939479311,0.107356944287979,0.9550555100313691,0.001,128,150,2,27
21,0.13321784105278722,0.9431702064042817,0.13263230602378986,0.9433292656326454,0.001,128,150,3,9
8,0.19182526384221266,0.9193326101792199,0.19179796590676168,0.9189807036401664,0.001,128,150,2,9
15,0.0607808232146677,0.9729973327464327,0.05808591423317958,0.9742378956428441,0.001,128,150,3,27
16,0.040534677718247564,0.9809990934460118,0.03662986364372809,0.9827453508015205,0.001,128,150,3,50
