round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,keep_prob,num_cells,hidden_layer_size,hidden_activation,optimizer,
1,0.2891102191633362,0.8737764040588125,0.3355254576188693,0.852319904837923,1,100,1,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,num_epochs
4,0.25843141210687215,0.8881847848295245,0.2638791722259417,0.8856812888589841,1,100,4,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
8,0.23883276448234667,0.8987978725177038,0.24293773572542435,0.8955237668745684,1,100,8,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
12,0.2303686891580885,0.9021810084791214,0.2319217089021366,0.9014958002505578,1,100,12,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
16,0.20886311363911847,0.9135497178835659,0.21187019559053294,0.9110656515708689,1,100,16,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
20,0.20708981220068728,0.9147861941499889,0.20958213579020618,0.9132938935559239,1,100,20,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
24,0.19638529768181323,0.9187188755804662,0.19971663803973425,0.9171836576969032,1,100,24,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
28,0.20320002912256943,0.9165035208619052,0.20559872270556928,0.9141268013044352,1,100,28,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
32,0.18713339864081704,0.9249699490905197,0.18832306126909631,0.9234175849523044,1,100,32,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
36,0.19777836929670872,0.918289543897369,0.20107685817860313,0.916642697416631,1,100,36,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
40,0.19979024152718478,0.917911731959331,0.20043202450662867,0.9174906317453652,1,100,40,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
44,0.18240293162847207,0.923991072951734,0.1850824014849874,0.9235098917981994,1,100,44,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
48,0.18851117311464888,0.9224111305956945,0.19165329248825883,0.9199721811571803,1,100,48,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
52,0.19212201269666251,0.9213807330024256,0.19453525032120444,0.9196072472541655,1,100,52,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam,
