round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,num_cells,hidden_layer_size
19,0.12540493990172613,0.9480435791512144,0.12415644423638345,0.9486788501879889,0.001,100,150,1,27
29,0.14955238958245734,0.937830457262509,0.1497551553548359,0.9373135205711691,0.001,500,150,1,27
20,0.15561171777109403,0.9352942114748819,0.15607300492968898,0.9350248696855643,0.001,300,150,1,27
11,0.1918362950580046,0.9202077287574866,0.19182758678648917,0.9193180486866361,0.001,400,150,1,27
18,0.12242705006151747,0.9487719645393138,0.11986965159485623,0.9505358446736405,0.001,75,150,1,27
22,0.11416171028388092,0.9531789524610566,0.11446817117494816,0.9530170691219316,0.001,150,150,1,27
21,0.12922244542658892,0.9464453172789411,0.12898942355531015,0.9466895358560007,0.001,200,150,1,27
