round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,num_cells,hidden_layer_size
14,0.053547842875941255,0.9765239764610942,0.04214132385146752,0.981747748845356,0.001,128,150,1,2000
12,0.05451755296757577,0.9762567270859862,0.044795298159043484,0.9807252559671463,0.001,128,150,1,3000
