round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,num_cells,hidden_layer_size
16,0.06337219046561768,0.9729711318273045,0.05803239532962291,0.9750651912900113,0.001,128,150,1,175
10,0.09491914335176628,0.9610287528864649,0.09208318052638,0.9618520418089278,0.001,128,150,1,80
17,0.06015391613743391,0.9744069421933459,0.052057664865824804,0.9775817945175779,0.001,128,150,1,250
17,0.06901227525710525,0.9706654509396464,0.061492377923174135,0.9736654044349463,0.001,128,150,1,150
20,0.05786591578688483,0.9751458081127623,0.0461510850078935,0.9800577862406913,0.001,128,150,1,300
13,0.08425890238699489,0.964859327263014,0.08057473214472552,0.9665328452092898,0.001,128,150,1,90
11,0.07600878246382452,0.9679667562694373,0.07148319024771997,0.9699042551031303,0.001,128,150,1,200
11,0.08362636309739746,0.9651160962704709,0.07898403284864725,0.9672998786240427,0.001,128,150,1,125
