round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,keep_prob,num_cells,hidden_layer_size,hidden_activation,optimizer
20,0.05786591578688483,0.9751458081127623,0.0461510850078935,0.9800577862406913,1,128,150,1.0,1,300,<function tanh at 0x7fd0c39bf620>,adam
24,0.05276582609755269,0.9769536715347974,0.03858648587481947,0.9830682777643498,1,128,150,1.0,1,319,<function tanh at 0x7fd0c39bf620>,adam
14,0.06404073085702136,0.9726252796948117,0.05694821706925055,0.9756272021097021,1,128,150,1.0,1,320,<function tanh at 0x7fd0c39bf620>,adam
20,0.05630558400261882,0.9759161151351327,0.04460300399334721,0.9805765654588674,1,128,150,1.0,1,346,<function tanh at 0x7fd0c39bf620>,adam
14,0.06043822475207438,0.9739982078571316,0.05302385572849106,0.977098386609771,1,128,150,1.0,1,347,<function tanh at 0x7fd0c39bf620>,adam
18,0.05573355971202915,0.9758741936667138,0.04459489842278808,0.9805372640029449,1,128,150,1.0,1,375,<function tanh at 0x7fd0c39bf620>,adam
15,0.05977928412318258,0.97446982440144,0.05071516367717397,0.9780691325710551,1,128,150,1.0,1,388,<function tanh at 0x7fd0c39bf620>,adam
14,0.06040194856389515,0.9740086882247829,0.05138045254772224,0.9777737166273714,1,128,150,1.0,1,396,<function tanh at 0x7fd0c39bf620>,adam
19,0.05486068622815963,0.9761624037771245,0.04291798548060087,0.9813776601354197,1,128,150,1.0,1,400,<function tanh at 0x7fd0c39bf620>,adam
12,0.06233879803222389,0.9729973327464327,0.056381225159432474,0.9756999098031587,1,128,150,1.0,1,444,<function tanh at 0x7fd0c39bf620>,adam
12,0.06351334436328297,0.9726881619007195,0.05526765045136797,0.9762029684389658,1,128,150,1.0,1,457,<function tanh at 0x7fd0c39bf620>,adam
18,0.05559848122729102,0.9760890412035654,0.04387295642151747,0.9809014574944929,1,128,150,1.0,1,461,<function tanh at 0x7fd0c39bf620>,adam
18,0.054732361940299616,0.9764034522331043,0.04220531230385738,0.9815898879974009,1,128,150,1.0,1,485,<function tanh at 0x7fd0c39bf620>,adam
19,0.054468301822397626,0.9764558540713608,0.04024195110203251,0.9824748257799211,1,128,150,1.0,1,592,<function tanh at 0x7fd0c39bf620>,adam
19,0.05436589494159876,0.9764768148066634,0.03960757880866382,0.9827047392970673,1,128,150,1.0,1,594,<function tanh at 0x7fd0c39bf620>,adam
17,0.0552896672942919,0.9765606577456875,0.04280855646311841,0.9814267869553227,1,128,150,1.0,1,608,<function tanh at 0x7fd0c39bf620>,adam
19,0.05450766635764259,0.9765449371942104,0.039657469694941376,0.982635961749203,1,128,150,1.0,1,610,<function tanh at 0x7fd0c39bf620>,adam
17,0.05400745673024937,0.9765449371963969,0.04211261310701234,0.9816547353996729,1,128,150,1.0,1,614,<function tanh at 0x7fd0c39bf620>,adam
16,0.05468889257419231,0.9764872951743148,0.04348699011852707,0.9810246020563832,1,128,150,1.0,1,638,<function tanh at 0x7fd0c39bf620>,adam
17,0.054788877219382984,0.9760261589976577,0.041823854691354335,0.9818106311748319,1,128,150,1.0,1,685,<function tanh at 0x7fd0c39bf620>,adam
14,0.05718372890706435,0.9758951544020165,0.047451541101087624,0.9793713208105794,1,128,150,1.0,1,706,<function tanh at 0x7fd0c39bf620>,adam
20,0.05295299581733124,0.977184239623126,0.03649503985122063,0.9840514691866761,1,128,150,1.0,1,790,<function tanh at 0x7fd0c39bf620>,adam
17,0.053771266486396914,0.976618299769956,0.04029794319692896,0.9824040831592606,1,128,150,1.0,1,836,<function tanh at 0x7fd0c39bf620>,adam
11,0.06007196741299966,0.9738672032593041,0.052717437064416894,0.9771671641575962,1,128,150,1.0,1,909,<function tanh at 0x7fd0c39bf620>,adam
17,0.05424063258989632,0.9766654614243868,0.04059933395434732,0.9823005893253316,1,128,150,1.0,1,910,<function tanh at 0x7fd0c39bf620>,adam
19,0.05196271365146797,0.9776401356159574,0.03653899270450031,0.9839715562263004,1,128,150,1.0,1,931,<function tanh at 0x7fd0c39bf620>,adam
15,0.056364488262794485,0.976005198262355,0.04371345073741417,0.9809112828584735,1,128,150,1.0,1,976,<function tanh at 0x7fd0c39bf620>,adam
11,0.06131506763368155,0.9728034459448838,0.052483421569749965,0.9772339766326643,1,128,150,1.0,1,993,<function tanh at 0x7fd0c39bf620>,adam
14,0.053547842875941255,0.9765239764610942,0.04214132385146752,0.981747748845356,1,128,150,1.0,1,2000,<function tanh at 0x7fd0c39bf620>,adam
12,0.05451755296757577,0.9762567270859862,0.044795298159043484,0.9807252559671463,1,128,150,1.0,1,3000,<function tanh at 0x7fd0c39bf620>,adam
14,0.05206588879493029,0.9777449392924704,0.04094784408276606,0.9823680568246651,1,128,150,1.0,1,4560,<function tanh at 0x7fd0c39bf620>,adam
