round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,num_cells,hidden_layer_size
14,0.1684849159496661,0.9291212743694929,0.16918310914676155,0.9289822700059631,0.001,332,150,1,27
7,0.20516388041302752,0.9139247383472433,0.20291397700065825,0.91512850377575,0.001,331,150,1,27
13,0.18970747055312018,0.9197780248330248,0.18906340272763045,0.9199645485630468,0.001,646,150,1,27
20,0.15041709353385724,0.9367405046404483,0.15033992133944898,0.9368884157926161,0.001,315,150,1,27
35,0.14323708608431926,0.9407440064503529,0.14241334753503385,0.9408716212010422,0.001,725,150,1,27
39,0.11054926219118999,0.9538182623570676,0.1095808579989729,0.9543153349807509,0.001,212,150,1,27
37,0.14796066360683294,0.9384749994198595,0.14788845044928198,0.9386785895372018,0.001,659,150,1,27
23,0.18419782522054742,0.9228016093596543,0.1854596038896743,0.9224431606181013,0.001,932,150,1,27
25,0.15907712555987566,0.9342618990130487,0.15815249150662913,0.9340816380728523,0.001,533,150,1,27
10,0.20023157878975653,0.9152295507076903,0.20054434592858225,0.9156368095856572,0.001,502,150,1,27
29,0.15073526700020703,0.9369343915175834,0.1506182766511501,0.9372008628575731,0.001,730,150,1,27
21,0.17738544193747,0.9258776000307621,0.17881364425648857,0.9254608587055922,0.001,594,150,1,27
17,0.18711401108513032,0.92168543307954,0.18724096317285618,0.922140520480598,0.001,889,150,1,27
25,0.15471331250259313,0.9355981393450808,0.15385136027799495,0.9361207215234221,0.001,645,150,1,27
14,0.1309827821481394,0.9452243617353778,0.1291336928902928,0.9459329903099956,0.001,85,150,1,27
20,0.1659360366221967,0.9315160207390772,0.16602449251399684,0.931502784998621,0.001,729,150,1,27
19,0.1682851965247379,0.9303946390025818,0.16888905564935164,0.9298226656584104,0.001,504,150,1,27
24,0.1629252345750272,0.9326583983993326,0.16313033180314176,0.9323693975188087,0.001,803,150,1,27
14,0.190027541928038,0.9198251856991113,0.19005113332941223,0.9198839809809338,0.001,718,150,1,27
15,0.19238562889747238,0.919599858858436,0.19127233937381713,0.9198210982070373,0.001,848,150,1,27
15,0.19177609748900315,0.9194007320495331,0.19228302747773549,0.9191221888829707,0.001,832,150,1,27
14,0.1931129656215356,0.919075839713451,0.19379267363721384,0.9186040635677597,0.001,925,150,1,27
21,0.16397194001507087,0.9315055581716424,0.16351112965967382,0.931730752326027,0.001,668,150,1,27
23,0.16557910812866347,0.9306828524878185,0.1653451177555656,0.9309165599169359,0.001,595,150,1,27
23,0.17211389887385575,0.9283876467389395,0.1723861595461323,0.9287222245711845,0.001,768,150,1,27
26,0.14542447040406395,0.9396802473327979,0.1440545683902634,0.9397534907218945,0.001,294,150,1,27
15,0.19051605709744765,0.921009466828609,0.19078648061092396,0.9209352951694689,0.001,1008,150,1,27
22,0.14987185731179042,0.9386636505855553,0.1487644069432448,0.938472917914137,0.001,245,150,1,27
15,0.12361394167394618,0.9477186802969235,0.12345088244180401,0.9482314616051672,0.001,52,150,1,27
18,0.18194748902948912,0.9242007391238762,0.18208169724928103,0.9237630347591097,0.001,757,150,1,27
24,0.1850586001923884,0.922141351175374,0.18683200730591973,0.9211946847031269,0.001,953,150,1,27
12,0.20621053928675703,0.9128662026118463,0.2058587530382434,0.9126616637438633,0.001,794,150,1,27
20,0.17580331924518752,0.9267946406152959,0.1758399432244266,0.9266032306002384,0.001,825,150,1,27
22,0.1851797470803985,0.9217640515716413,0.18426576335145428,0.9222315882353086,0.001,981,150,1,27
24,0.1093953227759667,0.9549239334632315,0.10787013155585456,0.9549991727072313,0.001,60,150,1,27
24,0.173502758219591,0.927748328227986,0.17385257249850292,0.9278425097194092,0.001,794,150,1,27
36,0.13714821240490008,0.9433169305590979,0.13729664135701777,0.9430174729083588,0.001,632,150,1,27
17,0.1681272891798234,0.930080227403336,0.16796120716000146,0.9301993054417075,0.001,450,150,1,27
30,0.14421845640630643,0.9392662667411944,0.14474707668294168,0.9393231342254765,0.001,370,150,1,27
30,0.1651900178065581,0.930761450621957,0.16495683923293908,0.9314877369939032,0.001,831,150,1,27
20,0.1682927973170324,0.9300278245552865,0.16757409956577654,0.9303997419320394,0.001,509,150,1,27
23,0.1607278902174116,0.9334025040743575,0.16057842091205135,0.9331514998551754,0.001,532,150,1,27
19,0.18958960055291704,0.9195160152681846,0.1911137165681928,0.9190501345843803,0.001,1010,150,1,27
25,0.15130352092766367,0.93624268457585,0.15165665279685958,0.9363408113599827,0.001,454,150,1,27
14,0.19720184513954633,0.9168016029200201,0.197864709224053,0.9165459790155966,0.001,881,150,1,27
20,0.16703753641485425,0.930190276891404,0.16777477576988808,0.929983807096491,0.001,528,150,1,27
21,0.12366834332305683,0.9489187022430964,0.12214258802653476,0.949438036215295,0.001,101,150,1,27
34,0.16583662121038922,0.9311701850796712,0.16595995835478933,0.9308477770781507,0.001,986,150,1,27
24,0.15680968089407055,0.934848792244994,0.1556565766958125,0.9350097995403588,0.001,362,150,1,27
18,0.1725479454907946,0.9278583897901542,0.17163413731674648,0.9284058475411677,0.001,569,150,1,27
