round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,num_cells,hidden_layer_size
18,0.14199328207196252,0.9406706348055237,0.13961530129502187,0.9416609151016249,0.001,252,150,1,27
23,0.11704468447384647,0.950794669110862,0.11586278839198474,0.9517247067954815,0.001,68,150,1,27
15,0.13330021866024439,0.9449990185303099,0.1315531758977425,0.9454973842198193,0.001,130,150,1,27
15,0.14180532524452424,0.9412522972509956,0.14040866789504453,0.9414578592856329,0.001,139,150,1,27
20,0.13103919551480026,0.9452977211580581,0.12915263549132805,0.9465290586727669,0.001,149,150,1,27
11,0.1803318547818837,0.9250234560628465,0.17608420569060934,0.9260222200528986,0.001,242,150,1,27
24,0.12440123384096433,0.9479073278101237,0.12395162460086812,0.9484273150943348,0.001,204,150,1,27
17,0.1038541699722977,0.9570095312116051,0.10421484889168531,0.9570114116645257,0.001,50,150,1,27
21,0.11536111581740505,0.9523352826071348,0.11200861383574988,0.9541456760850373,0.001,68,150,1,27
19,0.14440857424818973,0.9397431233509519,0.14067623641037424,0.9412456306181272,0.001,206,150,1,27
