round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,num_cells,hidden_layer_size
25,0.10517942940165964,0.9574916288153964,0.10600045057918103,0.9564618471291659,0.001,128,150,1,27
16,0.1813943655754752,0.9238915701693774,0.18207654930404746,0.9236660922085509,0.001,512,150,1,27
15,0.11014766209735817,0.9553641141753115,0.10808746025547734,0.955635206506225,0.001,64,150,1,27
30,0.11469253084491575,0.9526130176737175,0.11589751302054117,0.9523515698662092,0.001,256,150,1,27
15,0.10834987276322393,0.955039222775935,0.10916491557888408,0.9543801800138076,0.001,32,150,1,27
18,0.18960638693327034,0.9214758453888973,0.1915922745307695,0.9198964275744033,0.001,1024,150,1,27
